Date,Change %
"Dec 31, 2018",1.56%
"Dec 28, 2018",1.28%
"Dec 27, 2018",-1.04%
"Dec 24, 2018",-1.52%
"Dec 21, 2018",-0.45%
"Dec 20, 2018",-0.74%
"Dec 19, 2018",0.30%
"Dec 18, 2018",-0.39%
"Dec 17, 2018",-0.49%
"Dec 14, 2018",-1.30%
"Dec 13, 2018",-1.19%
"Dec 12, 2018",0.87%
"Dec 11, 2018",0.58%
"Dec 10, 2018",0.24%
"Dec 07, 2018",1.53%
"Dec 06, 2018",-3.01%
"Dec 05, 2018",-1.55%
"Dec 04, 2018",0.14%
"Dec 03, 2018",2.07%
"Nov 30, 2018",-0.24%
"Nov 29, 2018",0.48%
"Nov 28, 2018",-0.29%
"Nov 27, 2018",1.46%
"Nov 26, 2018",-0.68%
"Nov 23, 2018",0.63%
"Nov 22, 2018",-0.63%
"Nov 21, 2018",0.78%
"Nov 20, 2018",-0.29%
"Nov 19, 2018",-1.06%
"Nov 16, 2018",0.10%
"Nov 15, 2018",0.00%
"Nov 14, 2018",-0.72%
"Nov 13, 2018",1.75%
"Nov 12, 2018",-0.15%
"Nov 09, 2018",0.69%
"Nov 08, 2018",0.25%
"Nov 07, 2018",0.54%
"Nov 06, 2018",0.45%
"Nov 05, 2018",0.30%
"Nov 02, 2018",0.65%
"Nov 01, 2018",0.45%
"Oct 31, 2018",6.71%
"Oct 30, 2018",-0.90%
"Oct 29, 2018",-0.53%
"Oct 26, 2018",-1.77%
"Oct 25, 2018",1.42%
"Oct 24, 2018",0.03%
"Oct 23, 2018",-0.65%
"Oct 22, 2018",-0.16%
"Oct 19, 2018",2.46%
"Oct 18, 2018",-0.56%
"Oct 17, 2018",0.78%
"Oct 16, 2018",1.25%
"Oct 15, 2018",0.00%
"Oct 12, 2018",-1.92%
"Oct 11, 2018",-1.93%
"Oct 10, 2018",-4.16%
"Oct 09, 2018",0.20%
"Oct 08, 2018",-1.09%
"Oct 05, 2018",0.40%
"Oct 04, 2018",-3.56%
"Oct 03, 2018",0.24%
"Oct 02, 2018",-0.38%
"Oct 01, 2018",0.29%
"Sep 28, 2018",-0.14%
"Sep 27, 2018",1.22%
"Sep 26, 2018",0.83%
"Sep 25, 2018",0.05%
"Sep 24, 2018",-1.16%
"Sep 21, 2018",1.83%
"Sep 20, 2018",1.28%
"Sep 19, 2018",-0.47%
"Sep 18, 2018",-0.35%
"Sep 17, 2018",-0.20%
"Sep 14, 2018",-0.74%
"Sep 13, 2018",-0.05%
"Sep 12, 2018",0.69%
"Sep 11, 2018",1.00%
"Sep 10, 2018",0.45%
"Sep 07, 2018",0.99%
"Sep 06, 2018",-1.10%
"Sep 05, 2018",-1.80%
"Sep 04, 2018",-1.88%
"Sep 03, 2018",0.15%
"Aug 31, 2018",-1.57%
"Aug 30, 2018",0.43%
"Aug 29, 2018",0.19%
"Aug 28, 2018",0.43%
"Aug 27, 2018",0.58%
"Aug 24, 2018",-0.34%
"Aug 23, 2018",0.63%
"Aug 22, 2018",0.10%
"Aug 21, 2018",0.24%
"Aug 20, 2018",0.93%
"Aug 17, 2018",-0.59%
"Aug 16, 2018",0.59%
"Aug 15, 2018",-2.31%
"Aug 14, 2018",0.82%
"Aug 13, 2018",0.49%
"Aug 10, 2018",-2.61%
"Aug 09, 2018",-0.66%
"Aug 08, 2018",-0.56%
"Aug 07, 2018",0.52%
"Aug 06, 2018",0.19%
"Aug 03, 2018",0.95%
"Aug 02, 2018",0.05%
"Aug 01, 2018",0.24%
"Jul 31, 2018",1.11%
"Jul 30, 2018",0.58%
"Jul 27, 2018",-1.67%
"Jul 26, 2018",0.72%
"Jul 25, 2018",-0.62%
"Jul 24, 2018",0.38%
"Jul 23, 2018",-1.60%
"Jul 20, 2018",0.05%
"Jul 19, 2018",0.81%
"Jul 18, 2018",-0.28%
"Jul 17, 2018",0.48%
"Jul 16, 2018",-0.52%
"Jul 13, 2018",-0.09%
"Jul 12, 2018",1.49%
"Jul 11, 2018",0.00%
"Jul 10, 2018",0.82%
"Jul 09, 2018",0.19%
"Jul 06, 2018",-0.44%
"Jul 05, 2018",-2.04%
"Jul 04, 2018",-0.33%
"Jul 03, 2018",1.24%
"Jul 02, 2018",-1.13%
"Jun 29, 2018",1.68%
"Jun 28, 2018",-0.19%
"Jun 27, 2018",0.58%
"Jun 26, 2018",0.73%
"Jun 25, 2018",-1.86%
"Jun 22, 2018",1.26%
"Jun 21, 2018",-1.05%
"Jun 20, 2018",0.72%
"Jun 19, 2018",-0.53%
"Jun 18, 2018",-1.65%
"Jun 15, 2018",0.57%
"Jun 14, 2018",0.62%
"Jun 13, 2018",1.35%
"Jun 12, 2018",-0.48%
"Jun 11, 2018",0.92%
"Jun 08, 2018",0.98%
"Jun 07, 2018",0.05%
"Jun 06, 2018",-2.49%
"Jun 05, 2018",0.34%
"Jun 04, 2018",0.82%
"Jun 01, 2018",0.58%
"May 31, 2018",-0.82%
"May 30, 2018",0.10%
"May 29, 2018",-0.43%
"May 28, 2018",0.43%
"May 25, 2018",0.44%
"May 24, 2018",-0.29%
"May 23, 2018",0.73%
"May 22, 2018",-0.24%
"May 21, 2018",0.54%
"May 18, 2018",0.64%
"May 17, 2018",0.35%
"May 16, 2018",0.10%
"May 15, 2018",0.40%
"May 14, 2018",0.70%
"May 11, 2018",-0.55%
"May 10, 2018",0.15%
"May 09, 2018",0.55%
