Date,Change %
"Mar 23, 2017",0.11%
"Mar 22, 2017",0.51%
"Mar 21, 2017",0.28%
"Mar 20, 2017",-0.31%
"Mar 17, 2017",-0.17%
"Mar 16, 2017",0.25%
"Mar 15, 2017",-0.14%
"Mar 14, 2017",0.62%
"Mar 13, 2017",-0.51%
"Mar 10, 2017",0.54%
"Mar 09, 2017",0.74%
"Mar 08, 2017",-0.23%
"Mar 07, 2017",-0.45%
"Mar 06, 2017",-0.09%
"Mar 03, 2017",0.23%
"Mar 02, 2017",-0.31%
"Mar 01, 2017",0.60%
"Feb 28, 2017",0.14%
"Feb 27, 2017",-0.14%
"Feb 24, 2017",-0.76%
"Feb 23, 2017",0.23%
"Feb 22, 2017",1.76%
"Feb 21, 2017",0.46%
"Feb 20, 2017",-1.96%
"Feb 17, 2017",2.47%
"Feb 16, 2017",-1.12%
"Feb 15, 2017",0.72%
"Feb 14, 2017",-0.66%
"Feb 13, 2017",2.12%
"Feb 10, 2017",-2.24%
"Feb 09, 2017",0.37%
"Feb 08, 2017",1.08%
"Feb 07, 2017",0.76%
"Feb 06, 2017",-0.50%
"Feb 03, 2017",0.26%
"Feb 02, 2017",1.01%
"Feb 01, 2017",0.33%
"Jan 31, 2017",-1.55%
"Jan 30, 2017",-0.18%
"Jan 27, 2017",0.00%
"Jan 26, 2017",-0.15%
"Jan 25, 2017",0.15%
"Jan 24, 2017",0.09%
"Jan 23, 2017",0.65%
"Jan 20, 2017",-0.26%
"Jan 19, 2017",0.56%
"Jan 18, 2017",-0.03%
"Jan 17, 2017",-0.70%
"Jan 16, 2017",-0.38%
"Jan 13, 2017",0.62%
"Jan 12, 2017",-0.84%
"Jan 11, 2017",0.47%
"Jan 10, 2017",-0.18%
"Jan 09, 2017",0.65%
"Jan 06, 2017",-0.03%
"Jan 05, 2017",0.26%
"Jan 04, 2017",-0.18%
"Jan 03, 2017",-1.90%
"Jan 02, 2017",0.03%
"Dec 30, 2016",0.46%
"Dec 29, 2016",0.12%
"Dec 28, 2016",-0.17%
"Dec 27, 2016",0.09%
"Dec 23, 2016",0.61%
"Dec 22, 2016",0.56%
"Dec 21, 2016",-0.20%
"Dec 20, 2016",0.53%
"Dec 19, 2016",0.53%
"Dec 16, 2016",0.74%
"Dec 15, 2016",-0.24%
"Dec 14, 2016",0.12%
"Dec 13, 2016",1.08%
"Dec 12, 2016",-0.57%
"Dec 09, 2016",2.83%
"Dec 08, 2016",0.28%
"Dec 07, 2016",0.84%
"Dec 06, 2016",1.07%
"Dec 05, 2016",0.16%
"Dec 02, 2016",0.16%
"Dec 01, 2016",-1.52%
"Nov 30, 2016",-0.06%
"Nov 29, 2016",0.72%
"Nov 28, 2016",-1.14%
"Nov 25, 2016",1.03%
"Nov 24, 2016",0.31%
"Nov 23, 2016",-0.13%
"Nov 22, 2016",0.35%
"Nov 21, 2016",-0.03%
"Nov 18, 2016",1.17%
"Nov 17, 2016",0.16%
"Nov 16, 2016",-0.38%
"Nov 15, 2016",0.57%
"Nov 14, 2016",-0.10%
"Nov 11, 2016",-1.13%
"Nov 10, 2016",-3.02%
